iter	Passed	Remaining
401	14008	20838
402	14042	20801
403	14072	20760
404	14107	20725
405	14141	20689
406	14168	20644
407	14202	20608
408	14235	20570
409	14264	20526
410	14301	20495
411	14332	20455
412	14363	20414
413	14394	20374
414	14426	20336
415	14455	20292
416	14484	20251
417	14512	20206
418	14545	20169
419	14575	20128
420	14605	20087
421	14636	20046
422	14663	20001
423	14690	19956
424	14720	19916
425	14745	19868
426	14771	19822
427	14800	19780
428	14827	19736
429	14857	19694
430	14886	19653
431	14915	19611
432	14946	19572
433	14977	19533
434	15012	19499
435	15040	19455
436	15079	19426
437	15108	19385
438	15134	19340
439	15162	19297
440	15187	19250
441	15218	19212
442	15246	19170
443	15279	19134
444	15318	19104
445	15354	19072
446	15391	19041
447	15433	19016
448	15470	18985
449	15505	18951
450	15545	18922
451	15572	18879
452	15598	18835
453	15631	18799
454	15662	18760
455	15694	18723
456	15727	18687
457	15761	18652
458	15795	18617
459	15820	18572
460	15853	18536
461	15879	18491
462	15907	18449
463	15936	18409
464	15966	18370
465	15998	18333
466	16036	18302
467	16068	18265
468	16095	18223
469	16122	18180
470	16156	18146
471	16189	18110
472	16218	18070
473	16244	18026
474	16265	17978
475	16305	17949
476	16337	17913
477	16361	17867
478	16387	17824
479	16417	17785
480	16452	17752
481	16488	17720
482	16519	17681
483	16549	17644
484	16583	17609
485	16613	17570
486	16637	17526
487	16664	17484
488	16690	17440
489	16717	17399
490	16751	17365
491	16787	17333
492	16824	17302
493	16866	17276
494	16898	17239
495	16932	17206
496	16968	17173
497	16999	17136
498	17028	17096
499	17050	17050
500	17079	17011
501	17113	16977
502	17152	16947
503	17190	16917
504	17231	16890
505	17266	16856
506	17306	16828
507	17337	16791
508	17363	16749
509	17399	16716
510	17429	16679
511	17486	16666
512	17513	16626
513	17536	16581
514	17571	16548
515	17610	16518
516	17641	16481
517	17681	16452
518	17705	16409
519	17727	16363
520	17752	16321
521	17788	16289
522	17823	16255
523	17852	16217
524	17882	16179
525	17918	16147
526	17949	16109
527	17976	16070
528	18003	16029
529	18033	15991
530	18064	15955
531	18090	15913
532	18116	15872
533	18146	15835
534	18175	15797
535	18205	15760
536	18234	15721
537	18262	15682
538	18286	15640
539	18312	15599
540	18336	15557
541	18367	15521
542	18397	15483
543	18428	15447
544	18462	15413
545	18499	15382
546	18536	15351
547	18566	15314
548	18597	15277
549	18630	15243
550	18664	15209
551	18696	15173
552	18739	15147
553	18779	15118
554	18814	15085
555	18846	15049
556	18884	15019
557	18912	14980
558	18942	14944
559	18972	14907
560	19006	14873
561	19036	14836
562	19076	14807
563	19112	14775
564	19149	14743
565	19172	14701
566	19204	14665
567	19238	14632
568	19269	14596
569	19297	14557
570	19334	14525
571	19360	14486
572	19386	14446
573	19416	14410
574	19455	14380
575	19486	14344
576	19522	14312
577	19556	14278
578	19585	14240
579	19621	14208
580	19651	14172
581	19681	14135
582	19723	14107
583	19762	14077
584	19793	14041
585	19823	14004
586	19852	13968
587	19883	13931
588	19914	13896
589	19938	13855
590	19970	13820
591	19994	13779
592	20027	13745
593	20061	13712
594	20095	13678
595	20123	13640
596	20154	13604
597	20183	13568
598	20208	13528
599	20243	13495
600	20271	13458
601	20304	13423
602	20330	13385
603	20362	13350
604	20391	13313
605	20423	13278
606	20447	13238
607	20478	13203
608	20507	13166
609	20537	13130
610	20576	13100
611	20609	13066
612	20641	13031
613	20674	12997
614	20708	12963
615	20746	12932
616	20778	12898
617	20812	12864
618	20841	12827
619	20876	12795
620	20906	12759
621	20938	12724
622	20966	12687
623	20998	12652
624	21027	12616
625	21055	12579
626	21085	12543
627	21114	12507
628	21141	12469
629	21171	12433
630	21197	12395
631	21223	12357
632	21251	12321
633	21279	12284
634	21310	12249
635	21333	12209
636	21366	12176
637	21397	12140
638	21427	12105
639	21457	12069
640	21484	12032
641	21507	11993
642	21545	11962
643	21579	11929
644	21613	11896
645	21650	11864
646	21683	11830
647	21719	11798
648	21769	11773
649	21798	11737
650	21822	11698
651	21844	11659
652	21877	11625
653	21908	11590
654	21934	11553
655	21969	11520
656	21991	11480
657	22015	11442
658	22046	11407
659	22072	11370
660	22094	11331
661	22125	11296
662	22151	11259
663	22176	11222
664	22200	11183
665	22229	11147
666	22257	11112
667	22286	11076
668	22317	11041
669	22347	11006
670	22377	10971
671	22406	10936
672	22433	10899
673	22461	10864
674	22489	10828
675	22517	10792
676	22549	10758
677	22581	10724
678	22614	10690
679	22645	10656
680	22677	10623
681	22714	10591
682	22736	10552
683	22762	10516
684	22793	10481
685	22816	10443
686	22845	10408
687	22871	10371
688	22901	10337
689	22925	10299
690	22954	10264
691	22984	10230
692	23016	10196
693	23047	10162
694	23080	10128
695	23109	10093
696	23140	10059
697	23165	10022
698	23199	9990
699	23227	9954
700	23255	9919
701	23281	9882
702	23310	9848
703	23333	9810
704	23362	9775
705	23387	9739
706	23417	9704
707	23454	9673
708	23487	9639
709	23516	9605
710	23545	9570
711	23581	9538
712	23622	9508
713	23650	9473
714	23676	9437
715	23699	9400
716	23723	9363
717	23753	9329
718	23781	9294
719	23812	9260
720	23838	9224
721	23867	9189
722	23895	9155
723	23922	9119
724	23953	9085
725	23983	9051
726	24006	9014
727	24036	8980
728	24060	8944
729	24087	8908
730	24120	8876
731	24152	8842
732	24182	8808
733	24216	8775
734	24249	8743
735	24275	8707
736	24309	8674
737	24340	8641
738	24369	8606
739	24399	8572
740	24424	8537
741	24452	8502
742	24478	8466
743	24508	8432
744	24530	8396
745	24559	8362
746	24593	8329
747	24617	8293
748	24644	8258
749	24671	8223
750	24698	8189
751	24721	8152
752	24750	8118
753	24779	8084
754	24805	8049
755	24832	8014
756	24858	7979
757	24884	7944
758	24921	7913
759	24952	7879
760	24975	7843
761	25001	7808
762	25029	7774
763	25058	7740
764	25089	7707
765	25116	7672
766	25146	7638
767	25173	7604
768	25200	7570
769	25227	7535
770	25257	7501
771	25284	7467
772	25309	7432
773	25338	7398
774	25370	7365
775	25398	7331
776	25430	7298
777	25463	7265
778	25489	7231
779	25520	7197
780	25557	7166
781	25584	7132
782	25608	7096
783	25637	7063
784	25667	7030
785	25697	6996
786	25724	6962
787	25751	6928
788	25775	6893
789	25803	6859
790	25834	6826
791	25869	6793
792	25898	6760
793	25924	6725
794	25951	6691
795	25974	6656
796	26001	6622
797	26029	6588
798	26060	6555
799	26087	6521
800	26112	6487
801	26141	6453
802	26166	6419
803	26195	6386
804	26226	6352
805	26250	6318
806	26274	6283
807	26306	6251
808	26328	6216
809	26353	6181
810	26382	6148
811	26409	6114
812	26436	6080
813	26462	6046
814	26493	6013
815	26526	5981
816	26553	5947
817	26583	5914
818	26616	5882
819	26642	5848
820	26671	5815
821	26698	5781
822	26721	5746
823	26745	5712
824	26775	5679
825	26803	5646
826	26826	5611
827	26856	5578
828	26889	5546
829	26914	5512
830	26946	5480
831	26973	5446
832	27008	5414
833	27045	5383
834	27075	5350
835	27100	5316
836	27122	5282
837	27148	5248
838	27175	5214
839	27200	5181
840	27231	5148
841	27258	5114
842	27290	5082
843	27324	5050
844	27358	5018
845	27387	4985
846	27408	4951
847	27431	4916
848	27459	4883
849	27481	4849
850	27510	4816
851	27530	4782
852	27558	4749
853	27582	4715
854	27608	4682
855	27638	4649
856	27667	4616
857	27697	4583
858	27723	4550
859	27750	4517
860	27780	4484
861	27815	4453
862	27849	4420
863	27875	4387
864	27907	4355
865	27938	4322
866	27970	4290
867	27997	4257
868	28032	4225
869	28063	4193
870	28084	4159
871	28115	4127
872	28138	4093
873	28159	4059
874	28183	4026
875	28215	3993
876	28245	3961
877	28272	3928
878	28300	3895
879	28328	3862
880	28352	3829
881	28379	3796
882	28410	3764
883	28439	3731
884	28465	3698
885	28490	3665
886	28511	3632
887	28537	3599
888	28562	3566
889	28586	3533
890	28618	3500
891	28653	3469
892	28680	3436
893	28711	3404
894	28738	3371
895	28765	3338
896	28794	3306
897	28817	3273
898	28843	3240
899	28865	3207
900	28891	3174
901	28916	3141
902	28946	3109
903	28970	3076
904	29000	3044
905	29024	3011
906	29052	2978
907	29078	2946
908	29101	2913
909	29126	2880
910	29154	2848
911	29188	2816
912	29223	2784
913	29256	2752
