iter	Logloss
0	0.6898363129
1	0.686467411
2	0.6835351542
3	0.6803911172
4	0.6771579929
5	0.6742126273
6	0.6721763256
7	0.6693767486
8	0.666747774
9	0.6640465995
10	0.6616488656
11	0.6589962445
12	0.6571259871
13	0.6553282024
14	0.6530024178
15	0.6507198175
16	0.6491252793
17	0.6470375269
18	0.6454690081
19	0.6439519007
20	0.6424246095
21	0.6410896014
22	0.6396241158
23	0.637623222
24	0.6359264063
25	0.6345469155
26	0.633235808
27	0.6319406777
28	0.6300747802
29	0.6285217583
30	0.6272614942
31	0.6255819564
32	0.6244028774
33	0.6227799797
34	0.6212558783
35	0.6197608691
36	0.6188346719
37	0.6178101497
38	0.6168110888
39	0.615921959
40	0.6150958636
41	0.6142921647
42	0.6133615893
43	0.6120497145
44	0.6111319285
45	0.6103168061
46	0.6096809694
47	0.608766042
48	0.6079092064
49	0.6071001738
50	0.6060018554
51	0.605131223
52	0.6043656177
53	0.6036372687
54	0.6029483294
55	0.6023358076
56	0.6017501753
57	0.6007100562
58	0.6001251555
59	0.599193747
60	0.5985783328
61	0.5979068597
62	0.597297303
63	0.5967551814
64	0.5962226151
65	0.5953536279
66	0.5948424535
67	0.5942873922
68	0.5938355127
69	0.5932763355
70	0.5927364711
71	0.5923046379
72	0.5917954828
73	0.5913658633
74	0.5905996885
75	0.5900678463
76	0.5893665204
77	0.5888820727
78	0.5884586021
79	0.5878622435
80	0.5874722441
81	0.5870801946
82	0.5866465282
83	0.5862670226
84	0.5859805908
85	0.5856481179
86	0.5852710178
87	0.5847225653
88	0.584130362
89	0.5835611737
90	0.5832068665
91	0.5826351481
92	0.5823802292
93	0.5820518094
94	0.5818047634
95	0.581506682
96	0.5812017062
97	0.5808291586
98	0.5806057139
99	0.5803246401
100	0.5798505882
101	0.5795218236
102	0.579286582
103	0.5789543536
104	0.5784108866
105	0.5779539299
106	0.5777065668
107	0.5772925356
108	0.5769799678
109	0.5765155328
110	0.576274292
111	0.5759897893
112	0.5757789739
113	0.575576914
114	0.5753483179
115	0.5750741664
116	0.5749028614
117	0.5745679656
118	0.5743153268
119	0.5741117379
120	0.5739175955
121	0.5737058842
122	0.5734466922
123	0.573223872
124	0.573028122
125	0.5728246042
126	0.5726392119
127	0.5724708998
128	0.5722758069
129	0.5719805467
130	0.5716189652
131	0.5712546085
132	0.5710887475
133	0.5708077968
134	0.5705641442
135	0.5702871676
136	0.5700280155
137	0.569781974
138	0.5694718601
139	0.5693309501
140	0.5691856265
141	0.5690344238
142	0.5687949934
143	0.5686589751
144	0.5685002105
145	0.5683737146
146	0.5681279107
147	0.5679007198
148	0.5677653243
149	0.5676227466
150	0.5674529746
151	0.5672465735
152	0.5671333062
153	0.5670012392
154	0.5668349344
155	0.5666269669
156	0.5663853457
157	0.5662166554
158	0.5660871484
159	0.5659738729
160	0.5657933248
161	0.5656875969
162	0.5654969376
163	0.5653371658
164	0.565165642
165	0.5650682643
166	0.5649518698
167	0.5648157211
168	0.5646048112
169	0.5644814886
170	0.5643162497
171	0.56419966
172	0.5640850641
173	0.5640107673
174	0.5638299968
175	0.5636762645
176	0.5635375785
177	0.5633527072
178	0.5632566445
179	0.5631364522
180	0.5630127997
181	0.5628835677
182	0.5627292421
183	0.5626429971
184	0.5625327733
185	0.5624314165
186	0.5623149464
187	0.5622205589
188	0.5620746075
189	0.5618905339
190	0.5618010817
191	0.5616896565
192	0.5615616455
193	0.5614485641
194	0.5613617601
195	0.5612825461
196	0.5612064111
197	0.5611244395
198	0.5610343308
199	0.5609332766
200	0.5608355439
201	0.5607033955
202	0.5605774489
203	0.5604803366
204	0.5603940285
205	0.5602500585
206	0.5601439144
207	0.5600348491
208	0.559967365
209	0.5598547709
210	0.5597414468
211	0.5596260037
212	0.5595137303
213	0.5594184431
214	0.5593315412
215	0.5592253202
216	0.5591062242
217	0.5589822786
218	0.558896127
219	0.5588115352
220	0.5587243077
221	0.5586039794
222	0.5585134609
223	0.5584084036
224	0.5583302827
225	0.5582316427
226	0.5581503137
227	0.5580608177
228	0.5579978384
229	0.5579214896
230	0.5578246047
231	0.5577628333
232	0.5576632747
233	0.5575646445
234	0.5574638147
235	0.5573788911
236	0.5572980576
237	0.5572070807
238	0.5571075148
239	0.5570075733
240	0.5569071659
241	0.5568266792
242	0.5567534016
243	0.5566877782
244	0.5566101703
245	0.5564845413
246	0.5564108216
247	0.5563473546
248	0.5562777003
249	0.5562068344
250	0.5561277758
251	0.5560490899
252	0.5559898273
253	0.5559159956
254	0.5558484792
255	0.5557761374
256	0.5556969724
257	0.5556233832
258	0.5555264582
